race,office,state,pollster,pollster_partisan,start_date,end_date,sample_n,sample_type,moe_pct,candA_name,candA_party,candA_pct,candB_name,candB_party,candB_pct,other_pct,undecided_pct,sigma,notes
AK-SEN,Senate,AK,Public Policy Polling,D,2026-01-16,2026-01-17,611,V,,Dan Sullivan,R,47,Mary Peltola,D,49,0,4,3,
AK-SEN,Senate,AK,Alaska Survey Research,,2026-01-08,2026-01-11,1988,LV,2.2,Dan Sullivan,R,46,Mary Peltola,D,48,0,6,3,
AK-SEN,Senate,AK,Data for Progress,D,2025-10-17,2025-10-23,823,LV,3.0,Dan Sullivan,R,45,Mary Peltola,D,46,5,4,3,
AK-SEN,Senate,AK,Alaska Survey Research,,2025-10-10,2025-10-15,1708,LV,,Dan Sullivan,R,46,Mary Peltola,D,48,0,6,3,
AK-SEN,Senate,AK,Alaska Survey Research,,2026-03-10,2025-03-15,1708,LV,,Dan Sullivan,R,47,Mary Peltola,D,53,0,6,3,
FL-SEN,Senate,FL,University of North Florida,,2025-10-15,2025-10-25,728,LV,4.3,Ashley Moody,R,49,Jennifer Jenkins,D,38,3,10,3,UNF topline #1
FL-SEN,Senate,FL,University of North Florida,,2025-10-15,2025-10-25,728,LV,4.3,Ashley Moody,R,47,Jennifer Jenkins,D,37,3,13,3,UNF topline #2
FL-SEN,Senate,FL,The Tyson Group,R,2025-10-01,2025-10-03,800,LV,,Ashley Moody,R,44,Jennifer Jenkins,D,37,0,19,3,
GA-SEN,Senate,GA,TIPP Insights,,2025-07-28,2025-08-01,2956,RV,1.8,Republican,R,44,Democratic,D,45,3,8,3,Candidate names not in paste
GA-SEN,Senate,GA,Cygnal,R,2025-05-15,2025-05-17,800,LV,3.4,Republican,R,43,Democratic,D,46,0,11,3,Candidate names not in paste
GA-SEN,Senate,GA,Trafalgar Group,R,2025-04-24,2025-04-27,1426,LV,2.9,Republican,R,43,Democratic,D,48,3,6,3,Candidate names not in paste
GA-SEN,Senate,GA,WPA Intelligence,R,2025-01-14,2025-01-15,500,LV,4.4,Republican,R,34,Democratic,D,44,0,22,3,Candidate names not in paste
IA-SEN,Senate,IA,Public Policy Polling,D,2025-06-02,2025-06-03,568,V,4.1,Joni Ernst,R,45,Generic Democratic,D,43,0,12,3,
KY-SEN,Senate,KY,Public Policy Polling,D,2025-12-18,2025-12-19,650,V,,Andy Barr,R,49,Charles Booker,D,38,0,13,3,
ME-SEN,Senate,ME,Pan Atlantic Research,,2025-11-29,2025-12-07,820,LV,3.7,Republican,R,42,Democratic,D,43,0,15,3,Candidate names not in paste
ME-SEN,Senate,ME,Maine People's Resource Center,,2025-10-26,2025-10-29,783,LV,3.5,Republican,R,41,Democratic,D,45,0,14,3,Candidate names not in paste
ME-SEN,Senate,ME,Cygnal,R,2025-11-10,2025-11-11,600,LV,4.0,Republican,R,41,Democratic,D,49,0,11,3,Candidate names not in paste
MA-SEN,Senate,MA,Suffolk University,,2025-11-19,2025-11-23,500,RV,4.4,Ed Markey,D,54,John Deaton,R,31,0,15,3,
MA-SEN,Senate,MA,SurveyUSA,,2025-02-28,2025-03-04,775,RV,,Ed Markey,D,45,John Deaton,R,26,0,30,3,
MI-SEN,Senate,MI,Emerson College,,2026-01-24,2026-01-25,1000,LV,3.0,Candidate A,,46,Candidate B,,43,0,11,3,Candidate names/parties not in paste
MI-SEN,Senate,MI,Glengariff Group,,2026-01-02,2026-01-06,600,LV,4.0,Candidate A,,46,Candidate B,,43,0,11,3,Candidate names/parties not in paste
MN-SEN,Senate,MN,Impact Research,D,2025-07-08,2025-07-11,604,LV,4.0,Peggy Flanagan,DFL,48,Michele Tafoya,R,45,0,7,3,
NE-SEN,Senate,NE,Lake Research Partners,D,2025-12-11,2025-12-17,900,LV,,Candidate A,,48,Candidate B,,47,0,5,3,Candidate names/parties not in paste
NE-SEN,Senate,NE,Lake Research Partners,D,2025-07-23,2025-07-29,900,LV,3.3,Candidate A,,46,Candidate B,,47,0,7,3,Candidate names/parties not in paste
